Instance,Instance Size,Pivoting Rule,Neighborhood,Initial Solution,Run,Deviation (%),Time (s)
ta082,100,first,transpose,srz,3,4.9341,1.923
ta082,100,first,transpose,srz,4,4.9341,1.3811
ta082,100,first,transpose,srz,5,4.9325,1.0269
ta082,100,first,transpose,srz,6,4.9855,1.7149
ta082,100,first,transpose,srz,7,4.9341,1.5325
ta082,100,first,transpose,srz,8,4.9336,1.3805
ta082,100,first,transpose,srz,9,4.9341,1.6868
ta082,100,first,transpose,srz,10,4.9454,1.4037
ta082,100,first,exchange,random,1,11.8346,1.102
ta082,100,first,exchange,random,2,15.1182,1.5923
ta082,100,first,exchange,random,3,13.2696,1.1739
ta082,100,first,exchange,random,4,15.8465,0.9144
ta082,100,first,exchange,random,5,15.3666,0.6281
ta082,100,first,exchange,random,6,13.8879,0.9452
ta082,100,first,exchange,random,7,15.8258,0.6605
ta082,100,first,exchange,random,8,11.747,1.7132
ta082,100,first,exchange,random,9,16.7959,0.4563
ta082,100,first,exchange,random,10,13.1639,0.6961
ta082,100,first,exchange,srz,1,5.2844,0.6685
ta082,100,first,exchange,srz,2,5.2844,0.6677
ta082,100,first,exchange,srz,3,5.2844,0.6719
ta082,100,first,exchange,srz,4,5.2844,0.6935
ta082,100,first,exchange,srz,5,5.2844,0.6798
ta082,100,first,exchange,srz,6,5.2844,0.6747
ta082,100,first,exchange,srz,7,5.2844,0.6674
ta082,100,first,exchange,srz,8,5.2844,0.6719
ta082,100,first,exchange,srz,9,5.2844,0.6662
ta082,100,first,exchange,srz,10,5.2844,0.6823
ta082,100,first,insert,random,1,15.7225,1.0677
ta082,100,first,insert,random,2,12.4927,1.9102
ta082,100,first,insert,random,3,14.7244,0.5648
ta082,100,first,insert,random,4,12.8551,1.2604
ta082,100,first,insert,random,5,14.2656,0.5665
ta082,100,first,insert,random,6,12.5338,1.1716
ta082,100,first,insert,random,7,19.7715,0.7495
ta082,100,first,insert,random,8,17.4002,0.6734
ta082,100,first,insert,random,9,21.4443,0.7371
ta082,100,first,insert,random,10,17.2336,0.4749
ta082,100,first,insert,srz,1,5.2844,0.6791
ta082,100,first,insert,srz,2,5.2844,0.6855
ta082,100,first,insert,srz,3,5.2844,0.6737
ta082,100,first,insert,srz,4,5.2844,0.6726
ta082,100,first,insert,srz,5,5.2844,0.6834
ta082,100,first,insert,srz,6,5.2844,0.6754
ta082,100,first,insert,srz,7,5.2145,1.3077
ta082,100,first,insert,srz,8,5.2844,0.6746
ta082,100,first,insert,srz,9,5.2844,0.6724
ta082,100,first,insert,srz,10,5.2844,0.671
ta082,100,best,transpose,random,1,23.4389,0.0209
ta082,100,best,transpose,random,2,26.6607,0.0244
ta082,100,best,transpose,random,3,27.7021,0.0332
ta082,100,best,transpose,random,4,27.4284,0.0123
ta082,100,best,transpose,random,5,25.7701,0.0223
ta082,100,best,transpose,random,6,28.9456,0.034
ta082,100,best,transpose,random,7,28.1255,0.0231
ta082,100,best,transpose,random,8,22.7056,0.0222
ta082,100,best,transpose,random,9,23.5835,0.0227
ta082,100,best,transpose,random,10,24.8604,0.0295
ta082,100,best,transpose,srz,1,5.2844,0.2802
ta082,100,best,transpose,srz,2,5.2844,0.2758
ta082,100,best,transpose,srz,3,5.2844,0.2782
ta082,100,best,transpose,srz,4,5.2844,0.2756
ta082,100,best,transpose,srz,5,5.2844,0.2822
ta082,100,best,transpose,srz,6,5.2844,0.2864
ta082,100,best,transpose,srz,7,5.2844,0.2907
ta082,100,best,transpose,srz,8,5.2844,0.2886
ta082,100,best,transpose,srz,9,5.2844,0.2857
ta082,100,best,transpose,srz,10,5.2844,0.2849
ta082,100,best,exchange,random,1,26.8209,1.1268
ta082,100,best,exchange,random,2,26.0494,2.6558
ta082,100,best,exchange,random,3,26.3265,3.0479
ta082,100,best,exchange,random,4,24.815,1.1284
ta082,100,best,exchange,random,5,26.9615,1.1202
ta082,100,best,exchange,random,6,27.8682,1.1376
ta082,100,best,exchange,random,7,25.8489,1.1414
ta082,100,best,exchange,random,8,25.1314,1.8956
ta082,100,best,exchange,random,9,22.3728,1.8895
ta082,100,best,exchange,random,10,19.7491,2.2605
ta082,100,best,exchange,srz,1,5.2844,0.6641
ta082,100,best,exchange,srz,2,5.2844,0.6492
ta082,100,best,exchange,srz,3,5.2844,0.6455
ta082,100,best,exchange,srz,4,5.2844,0.6426
ta082,100,best,exchange,srz,5,5.2844,0.6502
ta082,100,best,exchange,srz,6,5.2844,0.658
ta082,100,best,exchange,srz,7,5.2844,0.6442
ta082,100,best,exchange,srz,8,5.2844,0.6513
ta082,100,best,exchange,srz,9,5.2844,0.6554
ta082,100,best,exchange,srz,10,5.2844,0.656
ta082,100,best,insert,random,1,27.105,1.143
ta082,100,best,insert,random,2,24.5714,0.7525
ta082,100,best,insert,random,3,25.3827,1.1209
ta082,100,best,insert,random,4,25.2153,1.1299
ta082,100,best,insert,random,5,27.7316,1.1319
ta082,100,best,insert,random,6,23.3343,1.1345
ta082,100,best,insert,random,7,28.8397,1.1415
ta082,100,best,insert,random,8,25.5728,1.1346
ta082,100,best,insert,random,9,25.9943,1.1265
ta082,100,best,insert,random,10,22.4723,1.1285
ta082,100,best,insert,srz,1,5.2844,0.6516
ta082,100,best,insert,srz,2,5.2844,0.6501
ta082,100,best,insert,srz,3,5.2844,0.6723
ta082,100,best,insert,srz,4,5.2844,0.6521
ta082,100,best,insert,srz,5,5.2844,0.653
ta082,100,best,insert,srz,6,5.2844,0.6529
ta082,100,best,insert,srz,7,5.2844,0.6525
ta082,100,best,insert,srz,8,5.2844,0.6503
ta082,100,best,insert,srz,9,5.2844,0.6487
ta082,100,best,insert,srz,10,5.2844,0.6491
ta086,100,first,transpose,random,1,20.8092,1.0164
ta086,100,first,transpose,random,2,22.817,1.0578
ta086,100,first,transpose,random,3,23.4503,0.5776
ta086,100,first,transpose,random,4,23.7083,1.9031
ta086,100,first,transpose,random,5,19.3717,0.8989
ta086,100,first,transpose,random,6,22.4784,5.4959
ta086,100,first,transpose,random,7,23.4066,0.7075
ta086,100,first,transpose,random,8,21.3619,1.3824
ta086,100,first,transpose,random,9,20.7798,0.9757
ta086,100,first,transpose,random,10,24.3273,1.0341
ta086,100,first,transpose,srz,1,8.0387,0.7789
ta086,100,first,transpose,srz,2,7.9162,1.4758
ta086,100,first,transpose,srz,3,8.099,0.6833
ta086,100,first,transpose,srz,4,7.9877,0.9995
ta086,100,first,transpose,srz,5,8.099,0.6508
ta086,100,first,transpose,srz,6,7.7084,1.3077
ta086,100,first,transpose,srz,7,8.0839,0.746
ta086,100,first,transpose,srz,8,8.099,0.8293
ta086,100,first,transpose,srz,9,7.7081,1.1798
ta086,100,first,transpose,srz,10,7.7081,1.779
ta086,100,first,exchange,random,1,14.6408,1.157
ta086,100,first,exchange,random,2,17.0317,0.4552
ta086,100,first,exchange,random,3,13.7228,0.8088
ta086,100,first,exchange,random,4,15.1566,0.5805
ta086,100,first,exchange,random,5,13.4551,1.8142
ta086,100,first,exchange,random,6,16.2434,0.7046
ta086,100,first,exchange,random,7,14.7285,0.9766
ta086,100,first,exchange,random,8,18.1139,0.4951
ta086,100,first,exchange,random,9,16.987,0.8954
ta086,100,first,exchange,random,10,13.6929,0.862
ta086,100,first,exchange,srz,1,7.5485,0.864
ta086,100,first,exchange,srz,2,7.1382,1.1666
ta086,100,first,exchange,srz,3,7.2848,0.942
ta086,100,first,exchange,srz,4,7.3441,1.2097
ta086,100,first,exchange,srz,5,7.2279,0.956
ta086,100,first,exchange,srz,6,8.5622,1.0305
ta086,100,first,exchange,srz,7,7.414,1.1652
ta086,100,first,exchange,srz,8,7.3849,0.9276
ta086,100,first,exchange,srz,9,7.5846,0.8383
ta086,100,first,exchange,srz,10,7.8564,0.8995
ta086,100,first,insert,random,1,23.1405,0.7223
ta086,100,first,insert,random,2,17.586,0.8151
ta086,100,first,insert,random,3,20.0532,0.8819
ta086,100,first,insert,random,4,13.9787,1.0989
