Instance,Instance Size,Pivoting Rule,Neighborhood,Initial Solution,Run,Deviation (%),Time (s)
ta082,100,first,insert,srz,9,5.2844,0.7268
ta082,100,first,insert,srz,10,5.2462,0.7382
ta082,100,first,transpose,random,1,18.3647,1.256
ta082,100,first,transpose,random,2,23.1628,0.5862
ta082,100,first,transpose,random,3,21.2876,1.0195
ta082,100,first,transpose,random,4,19.9623,1.495
ta082,100,first,transpose,random,5,15.801,1.6629
ta082,100,first,transpose,random,6,20.001,1.8393
ta082,100,first,transpose,random,7,14.965,2.8072
ta082,100,first,transpose,random,8,19.8451,2.3717
ta082,100,first,transpose,random,9,18.8672,2.3614
ta082,100,first,transpose,random,10,22.9507,0.8303
ta082,100,first,exchange,random,1,16.4271,0.802
ta082,100,first,exchange,random,2,12.6666,1.1479
ta082,100,first,exchange,random,3,16.4733,0.8231
ta082,100,first,exchange,random,4,16.5639,0.9823
ta082,100,first,exchange,random,5,15.1846,2.4902
ta082,100,first,exchange,random,6,16.7784,0.6046
ta082,100,first,exchange,random,7,13.4096,1.6646
ta082,100,first,exchange,random,8,14.1244,0.8406
ta082,100,first,exchange,random,9,14.5368,0.463
ta082,100,first,exchange,random,10,12.9277,0.5224
ta082,100,best,transpose,srz,1,5.2844,0.3008
ta082,100,best,transpose,srz,2,5.2844,0.3005
ta082,100,best,transpose,srz,3,5.2844,0.283
ta082,100,best,transpose,srz,4,5.2844,0.2919
ta082,100,best,transpose,srz,5,5.2844,0.2893
ta082,100,best,transpose,srz,6,5.2844,0.2875
ta082,100,best,transpose,srz,7,5.2844,0.2979
ta082,100,best,transpose,srz,8,5.2844,0.2929
ta082,100,best,transpose,srz,9,5.2844,0.2971
ta082,100,best,transpose,srz,10,5.2844,0.2857
ta082,100,first,insert,random,1,16.9588,0.5136
ta082,100,first,insert,random,2,15.4303,1.7576
ta082,100,first,insert,random,3,15.6486,0.6042
ta082,100,first,insert,random,4,12.3981,1.3616
ta082,100,first,insert,random,5,20.5873,0.5666
ta082,100,first,insert,random,6,12.5588,0.779
ta082,100,first,insert,random,7,13.4618,0.9464
ta082,100,first,insert,random,8,16.6069,0.5675
ta082,100,first,insert,random,9,17.6599,1.1107
ta082,100,first,insert,random,10,11.2102,1.6816
ta082,100,first,transpose,srz,1,4.9341,1.2787
ta082,100,first,transpose,srz,2,4.9855,1.8285
ta082,100,first,transpose,srz,3,5.0825,0.9771
ta082,100,first,transpose,srz,4,4.9336,1.7859
ta082,100,first,transpose,srz,5,4.9336,1.4636
ta082,100,first,transpose,srz,6,4.9968,1.5023
ta082,100,first,transpose,srz,7,4.9723,2.3771
ta082,100,first,transpose,srz,8,4.9336,1.5938
ta082,100,first,transpose,srz,9,4.9336,1.3684
ta082,100,first,transpose,srz,10,4.9855,1.6397
ta082,100,best,exchange,srz,1,5.2844,0.704
ta082,100,best,exchange,srz,2,5.2844,0.6951
