Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00     86.69     0.00  2898684     0.00     0.00  std::tuple_element<0ul, std::pair<int, int> >::type const& std::get<0ul, int, int>(std::pair<int, int> const&)
  0.00     86.69     0.00  2898684     0.00     0.00  std::tuple_element<1ul, std::pair<int, int> >::type const& std::get<1ul, int, int>(std::pair<int, int> const&)
  0.00     86.69     0.00  2556065     0.00     0.00  std::pair<int, int>* std::__addressof<std::pair<int, int> >(std::pair<int, int>&)
  0.00     86.69     0.00  2301340     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::__normal_iterator<int*>(__gnu_cxx::__normal_iterator<int*, __gnu_cxx::__enable_if<std::__are_same<int*, int*>::__value, std::vector<int, std::allocator<int> > >::__type> const&)
  0.00     86.69     0.00  2301340     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::difference_type __gnu_cxx::operator-<int const*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > const&)
  0.00     86.69     0.00  2281240     0.00     0.00  void __gnu_cxx::new_allocator<int>::destroy<int>(int*)
  0.00     86.69     0.00  2281240     0.00     0.00  void std::allocator_traits<std::allocator<int> >::destroy<int>(std::allocator<int>&, int*)
  0.00     86.69     0.00  2281240     0.00     0.00  int* std::__miter_base<int*>(int*)
  0.00     86.69     0.00  2268358     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > std::__miter_base<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >)
  0.00     86.69     0.00  1703910     0.00     0.00  std::pair<int, int>&& std::forward<std::pair<int, int> >(std::remove_reference<std::pair<int, int> >::type&)
  0.00     86.69     0.00  1236294     0.00     0.00  PFSP::exchange(std::vector<int, std::allocator<int> >&, int, int)
  0.00     86.69     0.00  1236294     0.00     0.00  std::_Function_base::_Base_manager<PFSP::variable_neighborhood_descent_first(std::vector<int, std::allocator<int> >)::{lambda(std::vector<int, std::allocator<int> >&, int, int)#2}>::_M_get_pointer(std::_Any_data const&)
  0.00     86.69     0.00  1236294     0.00     0.00  PFSP::variable_neighborhood_descent_first(std::vector<int, std::allocator<int> >)::{lambda(std::vector<int, std::allocator<int> >&, int, int)#2} const* std::__addressof<PFSP::variable_neighborhood_descent_first(std::vector<int, std::allocator<int> >)::{lambda(std::vector<int, std::allocator<int> >&, int, int)#2} const>(PFSP::variable_neighborhood_descent_first(std::vector<int, std::allocator<int> >)::{lambda(std::vector<int, std::allocator<int> >&, int, int)#2} const&)
  0.00     86.69     0.00  1236294     0.00     0.00  PFSP::variable_neighborhood_descent_first(std::vector<int, std::allocator<int> >)::{lambda(std::vector<int, std::allocator<int> >&, int, int)#2}::operator()(std::vector<int, std::allocator<int> >&, int, int) const
  0.00     86.69     0.00  1160720     0.00     0.00  void __gnu_cxx::new_allocator<int>::construct<int, int const&>(int*, int const&)
  0.00     86.69     0.00  1160720     0.00     0.00  void std::allocator_traits<std::allocator<int> >::construct<int, int const&>(std::allocator<int>&, int*, int const&)
  0.00     86.69     0.00  1144820     0.00     0.00  bool __gnu_cxx::operator!=<int*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&)
  0.00     86.69     0.00  1144620     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator*() const
  0.00     86.69     0.00  1140624     0.00     0.00  PFSP::variable_neighborhood_descent_first(std::vector<int, std::allocator<int> >)::{lambda(std::vector<int, std::allocator<int> >&, int, int)#3} const& std::_Any_data::_M_access<PFSP::variable_neighborhood_descent_first(std::vector<int, std::allocator<int> >)::{lambda(std::vector<int, std::allocator<int> >&, int, int)#3}>() const
  0.00     86.69     0.00  1140620     0.00     0.00  void __gnu_cxx::new_allocator<int>::construct<int, int>(int*, int&&)
  0.00     86.69     0.00  1140620     0.00     0.00  bool __gnu_cxx::operator==<int const*, int*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&)
  0.00     86.69     0.00  1140620     0.00     0.00  std::_Function_base::_Base_manager<PFSP::variable_neighborhood_descent_first(std::vector<int, std::allocator<int> >)::{lambda(std::vector<int, std::allocator<int> >&, int, int)#3}>::_M_get_pointer(std::_Any_data const&)
  0.00     86.69     0.00  1140620     0.00     0.00  void std::allocator_traits<std::allocator<int> >::construct<int, int>(std::allocator<int>&, int*, int&&)
  0.00     86.69     0.00  1140620     0.00     0.00  std::_Function_handler<void (std::vector<int, std::allocator<int> >&, int, int), PFSP::variable_neighborhood_descent_first(std::vector<int, std::allocator<int> >)::{lambda(std::vector<int, std::allocator<int> >&, int, int)#3}>::_M_invoke(std::_Any_data const&, std::vector<int, std::allocator<int> >&, int&&, std::_Any_data const&)
  0.00     86.69     0.00  1140620     0.00     0.00  std::vector<int, std::allocator<int> >::_Temporary_value::_M_val()
