Instance,Instance Size,Pivoting Rule,Neighborhood,Initial Solution,Run,Deviation (%),Time (s)
ta086,100,first,vnd1,srz,5,6.3582,9.5588
ta086,100,first,vnd1,srz,6,7.2134,7.0712
ta086,100,first,vnd1,srz,7,7.7084,4.1858
ta086,100,first,vnd1,srz,8,6.1964,12.3168
ta086,100,first,vnd1,srz,9,7.0441,4.7587
ta086,100,first,vnd1,srz,10,6.3851,7.7618
ta086,100,first,vnd2,random,1,7.724,2.5903
ta086,100,first,vnd2,random,2,6.1436,6.7339
ta086,100,first,vnd2,random,3,6.3671,5.9981
ta086,100,first,vnd2,random,4,7.7081,2.8791
ta086,100,first,vnd2,random,5,6.7071,6.0646
ta086,100,first,vnd2,random,6,6.2115,6.9666
ta086,100,first,vnd2,random,7,6.1732,9.3245
ta086,100,first,vnd2,random,8,6.0538,5.9262
ta086,100,first,vnd2,random,9,6.5253,5.1759
ta086,100,first,vnd2,random,10,6.9661,7.3051
ta086,100,first,vnd2,srz,1,7.0112,4.7164
ta086,100,first,vnd2,srz,2,5.9311,8.9702
ta086,100,first,vnd2,srz,3,6.1341,5.543
ta086,100,first,vnd2,srz,4,6.4463,5.698
ta086,100,first,vnd2,srz,5,6.6073,8.965
ta086,100,first,vnd2,srz,6,6.3363,8.4115
ta086,100,first,vnd2,srz,7,5.8101,10.4785
ta086,100,first,vnd2,srz,8,6.229,6.821
ta086,100,first,vnd2,srz,9,6.9004,8.3503
ta086,100,first,vnd2,srz,10,5.974,9.0321
ta086,100,best,vnd1,random,1,6.8462,7.4852
ta086,100,best,vnd1,random,2,7.9273,3.463
ta086,100,best,vnd1,random,3,6.2644,6.2896
ta086,100,best,vnd1,random,4,6.3587,4.4437
ta086,100,best,vnd1,random,5,7.6849,3.1482
ta086,100,best,vnd1,random,6,7.7062,3.4506
ta086,100,best,vnd1,random,7,6.3965,7.9108
ta086,100,best,vnd1,random,8,6.7885,7.9727
ta086,100,best,vnd1,random,9,5.4744,4.3472
ta086,100,best,vnd1,random,10,6.3156,6.4598
ta086,100,best,vnd1,srz,1,6.1562,10.882
ta086,100,best,vnd1,srz,2,6.8553,5.3395
ta086,100,best,vnd1,srz,3,7.6677,3.358
ta086,100,best,vnd1,srz,4,5.9627,10.9124
ta086,100,best,vnd1,srz,5,7.7084,3.4912
ta086,100,best,vnd1,srz,6,6.7906,4.3349
ta086,100,best,vnd1,srz,7,7.3048,5.1684
ta086,100,best,vnd1,srz,8,6.4161,7.3602
ta086,100,best,vnd1,srz,9,7.2757,6.4457
ta086,100,best,vnd1,srz,10,5.9648,10.6554
ta086,100,best,vnd2,random,1,5.7699,8.2003
ta086,100,best,vnd2,random,2,7.5771,2.9987
ta086,100,best,vnd2,random,3,5.7109,6.9326
ta086,100,best,vnd2,random,4,6.7877,6.7245
ta086,100,best,vnd2,random,5,6.7071,5.3012
ta086,100,best,vnd2,random,6,6.1166,9.0398
ta086,100,best,vnd2,random,7,7.4415,5.0124
